XLS_RowNumber	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	OVERDUEDAYS
6709	100000591	2017-05-02	5	1	1	 	Employee 22	Team 13				 	 	 	 	 	 	 
7324	100000640	2017-05-02	5	1	1	 	Employee 18	Team 13				 	 	 	 	 	 	 
7790	100000709	2017-06-15	6	1	1	 	Employee 20	Team 13				 	 	 	 	 	 	 
15602	100001333	2017-07-10	7	1	1	 	Employee 31	Team 10				 	 	 	 	 	 	 
15735	100001345	2017-07-10	7	1	1	 	Employee 31	Team 10				 	 	 	 	 	 	 
15803	100001359	2017-07-11	7	1	1	 	Employee 31	Team 10				 	 	 	 	 	 	 
17153	100001480	2017-05-02	5	1	1	 	Employee 22	Team 13				 	 	 	 	 	 	 
17193	100001495	2017-05-02	5	1	1	 	Employee 22	Team 13				 	 	 	 	 	 	 
17600	100001546	2017-05-25	5	1	1	 	Employee 20	Team 13				 	 	 	 	 	 	 
17610	100001547	2017-06-22	6	1	1	 	Employee 20	Team 13				 	 	 	 	 	 	 
17657	100001549	2017-07-17	7	1	1	 	Employee 20	Team 13				 	 	 	 	 	 	 
17658	100001549	2017-07-31	8	1	1	 	Employee 20	Team 13				 	 	 	 	 	 	 
17659	100001549	2017-08-14	8	1	1	 	Employee 20	Team 13				 	 	 	 	 	 	 
32395	100002786	2017-06-06	6	1	1	 	Employee 20	Team 13				 	 	 	 	 	 	 
32511	100002799	2017-06-14	6	1	1	 	Employee 20	Team 13				 	 	 	 	 	 	 
34396	100003139	2017-10-18	10	1	1	 	Employee 69	Team 3				 	 	 	 	 	 	 
34574	100003150	2017-05-02	5	1	1	 	Employee 68	Team 3				 	 	 	 	 	 	 
34669	100003157	2017-05-02	5	1	1	 	Employee 68	Team 3				 	 	 	 	 	 	 
34705	100003158	2017-05-02	5	1	1	 	Employee 68	Team 3				 	 	 	 	 	 	 
34790	100003161	2017-05-02	5	1	1	 	Employee 68	Team 3				 	 	 	 	 	 	 
