	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	V22	OVERDUEDAYS	TRESHOLD
114	100000141	8/31/2017	9	1	1	 	Employee 43	Team 1	0	 	0	 	 	 	 	 	 	not ok	 	,15
332	100000200	8/23/2017	8	1	1	 	Employee 43	Team 1	87,3897368421053	 	0	 	 	 	 	not ok	not ok	not ok	 	,15
333	100000200	8/24/2017	 	 	 	 	 	 	 	72,9668333333333	0	 	 	 	 	 	 	not ok	 	,15
1209	100000242	7/18/2017	7	1	1	 	Employee 48	Team 4	47,7576923076923	 	0	 	 	 	 	not ok	not ok	not ok	 	,15
1210	100000242	7/19/2017	 	 	 	 	 	 	 	27,8884615384615	0	 	 	 	 	 	 	not ok	 	,15
2937	100000353	8/23/2017	8	1	1	 	Employee 6	Team 8	32,075	 	0	 	 	 	 	not ok	not ok	not ok	 	,15
2938	100000353	8/25/2017	 	 	 	 	 	 	 	20,5266666666667	0	 	 	 	 	 	 	not ok	 	,15
8403	100000770	6/12/2017	6	1	1	 	Employee 25	Team 11	41,4408333333333	 	0	 	overdue	 	 	 	overdue	not ok	8	,15
8405	100000770	6/20/2017	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	not ok	 	,15
14548	100001232	7/24/2017	7	1	1	 	Employee 11	Team 9	58,9446666666667	 	0	 	 	 	 	not ok	not ok	not ok	 	,15
14549	100001232	7/26/2017	 	 	 	 	 	 	 	46,9080666666667	0	 	 	 	 	 	 	not ok	 	,15
17548	100001530	11/17/2017	11	1	1	 	Employee 20	Team 13	83,8	 	0	 	 	 	 	not ok	not ok	not ok	 	,15
17549	100001530	11/18/2017	 	 	 	 	 	 	 	62,55	0	 	 	 	 	 	 	not ok	 	,15
17941	100001596	8/9/2017	8	1	1	 	Employee 25	Team 11	91,1916666666667	 	0	 	 	 	 	not ok	not ok	not ok	 	,15
17942	100001596	8/10/2017	 	 	 	 	 	 	 	67,9625	0	 	 	 	 	 	 	not ok	 	,15
19956	100001815	7/11/2017	7	1	1	 	Employee 61	Team 7	72,575	 	0	 	 	 	 	not ok	not ok	not ok	 	,15
19957	100001815	7/12/2017	 	 	 	 	 	 	 	5,34920634920635	0	 	 	 	 	 	 	not ok	 	,15
20106	100001837	6/8/2017	6	1	1	 	Employee 33	Team 10	0	 	0	 	 	 	 	 	 	not ok	 	,15
20107	100001837	6/15/2017	6	1	1	 	Employee 33	Team 10	0	 	0	 	 	 	 	 	 	not ok	 	,15
20108	100001837	6/22/2017	6	1	1	 	Employee 33	Team 10	0	 	0	 	 	 	 	 	 	not ok	 	,15
20109	100001837	6/29/2017	6	1	1	 	Employee 33	Team 10	0	 	0	 	 	 	 	 	 	not ok	 	,15
26531	100002318	5/22/2017	5	1	1	 	Employee 40	Team 6	0	 	0	 	 	 	ok	 	ok	ok	 	,15
26532	100002318	5/23/2017	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	not ok	 	,15
26533	100002318	5/29/2017	6	1	1	 	Employee 40	Team 6	0	 	0	 	 	 	 	 	 	not ok	 	,15
26535	100002318	6/12/2017	6	1	1	 	Employee 40	Team 6	0	 	0	 	 	 	 	 	 	not ok	 	,15
26801	100002351	5/4/2017	5	1	1	 	Employee 34	Team 6	0	 	0	 	 	 	 	 	 	not ok	 	,15
26802	100002351	5/18/2017	5	1	1	 	Employee 34	Team 6	0	 	0	 	 	 	 	 	 	not ok	 	,15
31085	100002678	7/19/2017	7	1	1	 	Employee 3	Team 10	0	 	0	 	 	 	ok	 	ok	ok	 	,15
31086	100002678	7/20/2017	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	not ok	 	,15
31098	100002678	12/6/2017	12	1	1	 	Employee 3	Team 10	0	 	0	 	 	 	 	 	 	not ok	 	,15
33928	100003078	11/29/2017	12	1	1	 	Employee 23	Team 11	0	 	0	 	 	 	 	 	 	not ok	 	,15
33933	100003080	5/8/2017	5	1	1	 	Employee 23	Team 11	0	 	0	 	 	 	 	 	 	not ok	 	,15
33934	100003080	5/15/2017	5	1	1	 	Employee 23	Team 11	0	 	0	 	 	 	ok	 	ok	ok	 	,15
33935	100003080	5/16/2017	 	 	 	 	 	 	 	52,0857142857143	0	 	 	 	 	 	 	not ok	 	,15
34989	100003195	7/7/2017	7	1	1	 	Employee 71	Team 3	0	 	0	 	 	 	 	 	 	not ok	 	,15
34990	100003195	7/21/2017	7	1	1	 	Employee 71	Team 3	0	 	0	 	 	 	 	 	 	not ok	 	,15
34991	100003195	8/4/2017	8	1	1	 	Employee 71	Team 3	0	 	0	 	 	 	 	 	 	not ok	 	,15
34992	100003195	8/18/2017	8	1	1	 	Employee 71	Team 3	0	 	0	 	 	 	 	 	 	not ok	 	,15
