	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	V22	OVERDUEDAYS	TRESHOLD
62	100000136	11/27/2017	12	1	1	 	Employee 44	Team 1	94,75	 	85,275	 	overdue	 	 	 	overdue	not ok	5	,15
306	100000146	12/5/2017	12	1	1	 	Employee 41	Team 1	63,7875	 	58,7951388888889	 	overdue	 	 	 	overdue	not ok	8	,15
379	100000202	6/12/2017	6	1	1	 	Employee 28	Team 5	83	 	59,5833333333333	 	overdue	 	 	 	overdue	not ok	8	,15
401	100000202	10/16/2017	10	1	1	 	Employee 28	Team 5	71,1	 	69,9666666666667	 	overdue	 	 	 	overdue	ok	9	,15
421	100000203	6/12/2017	6	1	1	 	Employee 28	Team 5	91,6625	 	61,1083333333333	 	overdue	 	 	 	overdue	not ok	8	,15
444	100000203	10/16/2017	10	1	1	 	Employee 28	Team 5	80,9115079365079	 	80,3115079365079	 	overdue	 	 	 	overdue	ok	9	,15
670	100000213	11/28/2017	12	1	1	 	Employee 27	Team 5	88,0583333333333	 	83,5083333333333	 	overdue	 	 	 	overdue	ok	8	,15
941	100000225	5/9/2017	5	1	1	 	Employee 43	Team 1	65,5857142857143	 	69,1857142857143	 	overdue	 	 	 	overdue	ok	3	,15
989	100000227	6/12/2017	6	1	1	 	Employee 48	Team 4	69,2709615384615	 	69,2709615384615	 	overdue	 	 	 	overdue	ok	8	,15
1027	100000228	6/12/2017	6	1	1	 	Employee 48	Team 4	86,4625	 	86,4625	 	overdue	 	 	 	overdue	ok	8	,15
1173	100000240	5/3/2017	5	1	1	 	Employee 45	Team 4	57,354	 	29,427	 	overdue	 	 	 	overdue	not ok	8	,15
1271	100000244	7/6/2017	7	1	1	 	Employee 46	Team 4	43,0923076923077	 	43,0923076923077	 	overdue	 	 	 	overdue	ok	16	,15
1296	100000245	7/13/2017	7	1	1	 	Employee 46	Team 4	66,9722222222222	 	66,7338624338624	 	overdue	 	 	 	overdue	ok	9	,15
1644	100000269	8/4/2017	8	1	1	 	Employee 39	Team 6	68,8857142857143	 	68,8857142857143	 	overdue	 	 	 	overdue	ok	15	,15
2668	100000339	8/31/2017	9	1	1	 	Employee 6	Team 8	100,4	 	66,9333333333333	 	overdue	 	 	 	overdue	not ok	9	,15
2709	100000340	8/31/2017	9	1	1	 	Employee 6	Team 8	94,4714285714286	 	94,4714285714286	 	overdue	 	 	 	overdue	ok	9	,15
3146	100000369	10/12/2017	10	1	1	 	Employee 17	Team 8	52,7269230769231	 	65,3461538461539	 	overdue	 	 	 	overdue	ok	8	,15
3582	100000397	10/16/2017	10	1	1	 	Employee 7	Team 8	44,4111842105263	 	44,008552631579	 	overdue	 	 	 	overdue	ok	4	,15
3690	100000400	8/31/2017	9	1	1	 	Employee 7	Team 8	44,2083333333333	 	48,6527777777778	 	overdue	 	 	 	overdue	ok	15	,15
5334	100000510	7/31/2017	8	1	1	 	Employee 4	Team 10	77,3181818181818	 	77,3181818181818	 	overdue	 	 	 	overdue	ok	11	,15
5812	100000532	11/28/2017	12	1	1	 	Employee 3	Team 10	78,8324666666667	 	43,1817333333333	 	overdue	 	 	 	overdue	not ok	16	,15
6417	100000559	8/10/2017	8	1	1	 	Employee 15	Team 8	61,405	 	49,5049621212121	 	overdue	 	 	 	overdue	not ok	6	,15
6526	100000567	8/30/2017	9	1	1	 	Employee 12	Team 9	46,9159333333333	 	26,0886	 	overdue	 	 	 	overdue	not ok	16	,15
6671	100000575	9/6/2017	9	1	1	 	Employee 12	Team 9	52,6206349206349	 	56,8993386243386	 	overdue	 	 	 	overdue	ok	9	,15
7360	100000642	9/18/2017	9	1	1	 	Employee 18	Team 13	68,92	 	73,42	 	overdue	 	 	 	overdue	ok	3	,15
7368	100000642	10/30/2017	11	1	1	 	Employee 18	Team 13	82,72	 	82,72	 	overdue	 	 	 	overdue	ok	8	,15
7442	100000645	9/18/2017	9	1	1	 	Employee 18	Team 13	69,4111111111111	 	78,7611111111111	 	overdue	 	 	 	overdue	ok	3	,15
7534	100000650	11/30/2017	12	1	1	 	Employee 23	Team 11	95,8	 	1E-014	 	overdue	 	 	 	overdue	not ok	15	,15
8403	100000770	6/12/2017	6	1	1	 	Employee 25	Team 11	41,4408333333333	 	0	 	overdue	 	 	 	overdue	not ok	8	,15
8417	100000770	8/30/2017	9	1	1	 	Employee 25	Team 11	54	 	54	 	overdue	 	 	 	overdue	ok	15	,15
8589	100000803	7/25/2017	7	1	1	 	Employee 56	Team 11	72,2458333333333	 	72,2458333333333	 	overdue	 	 	 	overdue	ok	3	,15
8620	100000805	6/9/2017	6	1	1	 	Employee 55	Team 11	79,2192307692308	 	81,6567307692308	 	overdue	 	 	 	overdue	ok	8	,15
8762	100000811	8/8/2017	8	1	1	 	Employee 26	Team 5	81,8	 	81,8	 	overdue	 	 	 	overdue	ok	9	,15
9035	100000834	11/28/2017	12	1	1	 	Employee 27	Team 5	87,2018333333333	 	66,1214666666666	 	overdue	 	 	 	overdue	not ok	8	,15
9074	100000839	11/28/2017	12	1	1	 	Employee 27	Team 5	86,8043650793651	 	82,9043650793651	 	overdue	 	 	 	overdue	ok	8	,15
9282	100000850	11/28/2017	12	1	1	 	Employee 28	Team 5	73,2464285714286	 	73,2464285714286	 	overdue	 	 	 	overdue	ok	8	,15
9303	100000852	10/2/2017	10	1	1	 	Employee 43	Team 1	72,6362424242424	 	72,1298787878788	 	overdue	 	 	 	overdue	ok	8	,15
9589	100000873	8/29/2017	9	1	1	 	Employee 28	Team 5	77,6686403508772	 	77,6686403508772	 	overdue	 	 	 	overdue	ok	9	,15
10046	100000889	10/2/2017	10	1	1	 	Employee 43	Team 1	72,6362424242424	 	71,876696969697	 	overdue	 	 	 	overdue	ok	8	,15
