	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	V22	OVERDUEDAYS	TRESHOLD
61416	100005722	11/9/2017	11	1	1	 	Employee 52	Team 2	87,25	 	91,075	 	 	 	ok	 	ok	ok	 	,15
61423	100005723	5/18/2017	5	1	1	 	Employee 52	Team 2	62,425	 	73,68	 	 	 	ok	 	ok	ok	 	,15
61445	100005723	10/5/2017	10	1	1	 	Employee 52	Team 2	77,4333333333334	 	75,7	 	 	 	ok	 	ok	ok	 	,15
61452	100005723	11/9/2017	11	1	1	 	Employee 52	Team 2	72,2333333333333	 	72,0803333333333	 	 	 	ok	 	ok	ok	 	,15
61486	100005728	5/15/2017	5	1	1	 	Employee 50	Team 2	59,6714285714286	 	61,4095238095238	 	 	 	ok	 	ok	ok	 	,15
61498	100005728	7/26/2017	7	1	1	 	Employee 50	Team 2	64,1	 	64,4333333333333	 	 	 	ok	 	not ok	ok	 	,15
61502	100005728	8/16/2017	8	1	1	 	Employee 50	Team 2	65,6	 	64,85	 	 	 	ok	 	ok	ok	 	,15
61515	100005728	11/8/2017	11	1	1	 	Employee 50	Team 2	65,6	 	65,6	 	 	 	ok	 	ok	ok	 	,15
61519	100005728	11/29/2017	12	1	1	 	Employee 50	Team 2	65,6	 	65,42	 	 	 	ok	 	ok	ok	 	,15
61536	100005738	6/13/2017	6	1	1	 	Employee 52	Team 2	26,4346153846154	 	26,4346153846154	 	 	 	ok	 	ok	ok	 	,15
61544	100005743	5/15/2017	5	1	1	 	Employee 50	Team 2	54,0023333333333	 	57,021	 	 	 	ok	 	not ok	ok	 	,15
61562	100005743	9/11/2017	9	1	1	 	Employee 50	Team 2	64,2	 	64,2	 	 	 	ok	 	ok	ok	 	,15
61566	100005743	10/2/2017	10	1	1	 	Employee 50	Team 2	71,2	 	71,2	 	overdue	 	 	 	overdue	ok	9	,15
61599	100005744	11/3/2017	11	1	1	 	Employee 50	Team 2	65,6	 	65,6	 	 	 	ok	 	ok	ok	 	,15
61612	100005748	5/15/2017	5	1	1	 	Employee 50	Team 2	43,725	 	44,0375	 	 	 	ok	 	ok	ok	 	,15
61635	100005748	10/9/2017	10	1	1	 	Employee 50	Team 2	47,1	 	47,1	 	 	 	ok	 	ok	ok	 	,15
61644	100005748	12/4/2017	12	1	1	 	Employee 50	Team 2	47,1	 	47,1	 	 	 	ok	 	ok	ok	 	,15
