XLS_RowNumber	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	OVERDUEDAYS
6709	100000591	2017-05-02	5	1	1	 	Employee 22	Team 13				 	 	 	 	 	 	 
7324	100000640	2017-05-02	5	1	1	 	Employee 18	Team 13				 	 	 	 	 	 	 
15602	100001333	2017-07-10	7	1	1	 	Employee 31	Team 10				 	 	 	 	 	 	 
15735	100001345	2017-07-10	7	1	1	 	Employee 31	Team 10				 	 	 	 	 	 	 
15803	100001359	2017-07-11	7	1	1	 	Employee 31	Team 10				 	 	 	 	 	 	 
17153	100001480	2017-05-02	5	1	1	 	Employee 22	Team 13				 	 	 	 	 	 	 
17193	100001495	2017-05-02	5	1	1	 	Employee 22	Team 13				 	 	 	 	 	 	 
17658	100001549	2017-07-31	8	1	1	 	Employee 20	Team 13				 	 	 	 	 	 	 
17659	100001549	2017-08-14	8	1	1	 	Employee 20	Team 13				 	 	 	 	 	 	 
34826	100003166	2017-05-02	5	1	1	 	Employee 68	Team 3				 	 	 	 	 	 	 
36695	100003341	2017-11-30	12	1	1	 	Employee 72	Team 3				 	 	 	 	 	 	 
37247	100003428	2017-05-02	5	1	1	 	Employee 74	Team 3				 	 	 	 	 	 	 
38991	100003589	2017-05-02	5	1	1	 	Employee 70	Team 3				 	 	 	 	 	 	 
39787	100003670	2017-05-02	5	1	1	 	Employee 73	Team 3				 	 	 	 	 	 	 
60817	100005671	2017-05-02	5	1	1	 	Employee 70	Team 3				 	 	 	 	 	 	 
68487	100006612	2017-05-02	5	1	1	 	Employee 22	Team 13				 	 	 	 	 	 	 
77615	100008087	2017-05-02	5	1	1	 	Employee 73	Team 3				 	 	 	 	 	 	 
77755	100008102	2017-05-02	5	1	1	 	Employee 73	Team 3				 	 	 	 	 	 	 
77783	100008107	2017-05-02	5	1	1	 	Employee 73	Team 3				 	 	 	 	 	 	 
81641	100008600	2017-05-02	5	1	1	 	Employee 70	Team 3				 	 	 	 	 	 	 
