CustomerID	Month	No_planned_visits	No_executed_visits	No_not_executed_visits	No_adhoc_visits	Day_maximum_difference	No_validations	Mean_SAPE	Std_dev_SAPE	Mean_APE	Std_dev_APE	Squared_error_SAPE_APE	Mean_FPE	Std_dev_FPE	No_ok_validations	No_not_ok_validations	Percent_ok	Percent_not_ok
100000136	5	7	7	0	0	4.0	1	90.98699999999998	1.4210854715202004e-14	79.498	0.0	131.99712099999945	90.98699999999998	1.4210854715202004e-14	1	0	1.0	0.0
100000136	6	8	8	0	0	15.0	0	92.6325	1.744088945552952				92.63300000000001	1.4210854715202004e-14	0	0	0.0	0.0
100000136	7	4	4	0	0	24.0	0	95.375	0.625				95.375	0.0	0	0	0.0	0.0
100000136	8	8	8	0	0	31.0	0	96.0	0.0				96.0	0.0	0	0	0.0	0.0
100000136	9	9	9	0	0	31.0	0	96.0	0.0				96.0	0.0	0	0	0.0	0.0
100000136	10	6	6	0	0	2.0	1	96.0	0.0	90.55	0.0	29.702500000000033	96.0	0.0	1	0	1.0	0.0
100000136	11	5	5	0	0	13.0	0	94.875	0.25				94.875	0.0	0	0	0.0	0.0
100000136	12	9	9	0	1	27.0	1	94.75	0.0	70.499	0.0	588.1110010000002	85.27499999999999	1.4210854715202004e-14	0	0	0.0	0.0
100000141	5	7	7	0	0	15.0	0	43.518142857142855	14.042867517798813				43.517999999999994	7.105427357601002e-15	0	0	0.0	0.0
100000141	6	8	8	0	0	22.0	0	52.83087499999999	3.509370721279671				52.83100000000001	7.105427357601002e-15	0	0	0.0	0.0
100000141	7	9	3	6	0	24.0	0	40.939	16.962367425175845				40.939	0.0	0	0	0.0	0.0
100000141	8	4	0	4	0		0								0	0	0.0	0.0
100000141	9	2	1	1	0	31.0	0	0.0	0.0				0.0	0.0	0	0	0.0	0.0
100000142	5	4	4	0	0	9.0	1	76.069	7.192535575164018	80.935	0.0	23.677956	76.069	0.0	1	0	1.0	0.0
100000142	6	2	2	0	0	30.0	0	75.59649999999999	0.3644999999999996				75.597	0.0	0	0	0.0	0.0
100000142	7	4	4	0	0	18.0	1	79.16900000000001	1.3200443174378769	72.38600000000002	0.0	46.009088999999825	79.169	0.0	1	0	1.0	0.0
100000142	8	4	4	0	0	8.0	0	81.86625000000001	1.3749658859404503				81.866	0.0	0	0	0.0	0.0
100000142	9	5	5	0	0	5.0	0	76.16859999999998	2.5179423027543755				76.169	0.0	0	0	0.0	0.0
100000142	10	4	4	0	0	10.0	0	82.05324999999999	1.0613586516818934				82.053	0.0	0	0	0.0	0.0
100000142	11	4	4	0	0	7.0	0	82.9855	0.6313325193588551				82.985	0.0	0	0	0.0	0.0
100000142	12	3	3	0	0	19.0	0	82.378	0.6873077913133234				82.37799999999999	0.0	0	0	0.0	0.0
100000144	5	3	3	0	0	3.0	0	30.628	0.0				30.628	0.0	0	0	0.0	0.0
100000144	6	5	5	0	0	31.0	1	30.627999999999997	3.552713678800501e-15	45.07	0.0	208.5713640000001	30.627999999999997	3.552713678800501e-15	1	0	1.0	0.0
100000144	7	4	4	0	0	12.0	0	30.4915	0.07880831174438331				30.491	0.0	0	0	0.0	0.0
100000144	8	1	1	0	0	23.0	1	30.446	0.0	50.618	0.0	406.90958400000005	30.446	0.0	1	0	1.0	0.0
100000144	9	5	5	0	0	30.0	0	30.446000000000005	3.552713678800501e-15				30.446000000000005	3.552713678800501e-15	0	0	0.0	0.0
100000144	10	3	3	0	0	18.0	1	33.446	2.121320343559641	51.033	0.0	309.3025690000001	33.446	0.0	1	0	1.0	0.0
