CustomerID	No_planned_visits	No_executed_visits	No_not_executed_visits	No_adhoc_visits	No_validations	Mean_SAPE	Std_dev_SAPE	Mean_APE	Std_dev_APE	Squared_error_SAPE_APE	Mean_FPE	Std_dev_FPE	No_ok_validations	No_not_ok_validations	Percent_ok	Percent_not_ok
100000136	56	56	0	1	3	94.5498947368421	1.8566954580672068	80.18233333333333	8.200076598558224	206.426820683595	92.78099999999993	3.964823880073361	2	0	0.6666666666666666	0.0
100000141	30	19	11	0	0	44.74163157894737	16.093910336425314				44.74163157894737	11.651016645094364	0	0	0.0	0.0
100000142	30	30	0	0	2	79.59139999999996	4.147700548496723	76.66050000000001	4.274499999999989	8.590174809999715	79.46809375000002	2.889697587544574	2	0	1.0	0.0
100000144	28	28	0	0	3	31.950928571428587	2.0627083085900746	48.907000000000004	2.7184533592958093	287.5083582908159	31.907870967741946	1.8991266879539814	3	0	1.0	0.0
100000145	54	52	2	0	1	61.33324999999995	3.5281759172247362	44.679	0.0	277.36404306249824	60.11245283018868	4.014493053199877	0	1	0.0	1.0
100000146	29	28	1	4	4	63.361468750000014	3.591833045121032	57.090999999999994	5.5476280066349055	39.318778344726816	61.35238888888893	1.7340862511833766	3	0	0.75	0.0
100000200	28	28	0	3	4	84.60006451612904	3.571247942499291	76.7405	2.4918159542791294	61.77275438319472	79.64002857142854	19.710750882972786	3	1	0.75	0.25
100000201	8	4	4	0	0	90.9565	4.080954820872198				90.95624999999998	3.6767108517668343	0	0	0.0	0.0
100000202	24	22	2	2	4	78.02395833333331	7.835152091052895	65.18549999999999	3.781946357366802	164.8260123767358	70.22446428571428	7.950007374130196	1	1	0.25	0.25
100000203	24	22	2	4	5	81.57811538461539	6.9669821704673165	75.1348	8.625253837424149	41.51631314562135	74.46003225806446	9.402909733192823	2	1	0.4	0.2
100000205	26	26	0	1	0	78.47219230769231	4.4190777755199875				78.62419230769225	3.9836249921902036	0	0	0.0	0.0
100000206	29	29	0	2	3	81.99177419354837	1.9979569356603726	77.51666666666667	4.532979912694178	20.02658737715325	81.85070588235294	1.6605162118947816	3	0	1.0	0.0
100000208	28	28	0	0	1	84.06603571428569	6.490840829761265	68.615	0.0	238.73450464413204	83.77506896551726	5.596833827423811	1	0	1.0	0.0
100000209	23	23	0	1	0	94.95462500000002	4.1613502297181135				94.95454166666669	3.5209766871703665	0	0	0.0	0.0
100000210	18	18	0	0	0	42.99205555555556	5.841298376143425				42.992000000000004	5.298759865394084	0	0	0.0	0.0
100000212	2	0	2	0	0								0	0	0.0	0.0
100000213	22	22	0	0	4	87.21995454545454	5.107772753161001	85.25200000000001	5.5223290376434475	3.8728450929751537	86.97111538461536	3.4874623717509436	3	0	0.75	0.0
100000216	26	24	2	4	1	87.40071428571432	6.429190172604185	91.7	0.0	18.483857653060998	87.52827586206895	3.4603158007819856	1	0	1.0	0.0
100000217	25	25	0	1	0	57.9913076923077	13.491396266251234				57.99126923076921	9.46165115106438	0	0	0.0	0.0
100000218	18	18	0	1	1	48.26647368421052	11.714176896161788	46.565	0.0	2.8950126980609183	48.20484999999999	5.7014473011245155	1	0	1.0	0.0
100000220	26	25	1	5	1	90.74673333333337	5.8311260429602205	82.654	0.0	65.49233280444504	90.86135483870966	4.2572298925428615	1	0	1.0	0.0
100000221	5	5	0	0	0	39.194599999999994	2.4000100499789547				39.194599999999994	2.4000100499789547	0	0	0.0	0.0
100000222	23	20	3	2	0	60.40754545454547	15.266911962944489				60.40759090909092	13.45831837955143	0	0	0.0	0.0
100000223	19	18	1	1	1	81.80561111111109	10.515191096371472	73.301	0.0	72.3284101512342	81.97457894736841	7.650686823765973	0	0	0.0	0.0
100000224	13	13	0	2	0	57.687466666666666	15.260903091960918				57.68753333333334	5.43336852994735	0	0	0.0	0.0
100000225	31	30	1	2	4	80.13368750000001	6.586909667275221	75.64450000000001	7.113944703889676	20.15280441015625	80.05457142857138	5.589213490724606	2	0	0.5	0.0
100000227	23	22	1	2	2	81.2718260869565	12.707152685045479	94.845	4.617999999999995	184.23105007372473	80.76688000000001	11.901687128537702	1	0	0.5	0.0
100000228	23	22	1	1	2	86.446	5.205631407219118	89.26249999999999	3.8044999999999973	7.932672249999947	86.56712000000003	3.595736556757184	1	0	0.5	0.0
100000229	23	22	1	8	0	88.18766666666664	6.285986384190011				88.18763333333335	2.009151653199816	0	0	0.0	0.0
100000230	22	22	0	7	0	79.72699999999999	9.054803111018503				79.72703448275861	4.078561100925591	0	0	0.0	0.0
100000237	20	20	0	0	0	81.04749999999999	3.437097372784195				81.04749999999997	3.211173983140747	0	0	0.0	0.0
100000240	23	15	8	0	1	55.93186666666666	6.6733522197534905	45.74800000000001	0.0	103.71114028444401	50.69075000000001	11.912037632684848	0	0	0.0	0.0
100000242	9	9	0	1	1	49.339999999999996	5.206212942245062	27.888	0.0	460.1883039999998	40.513090909090906	19.282178047732646	0	1	0.0	1.0
100000243	26	25	1	1	3	46.74999999999999	3.3170134620909093	44.725	3.649050926839287	4.100624999999965	46.65834482758622	3.195870182895659	3	0	1.0	0.0
100000244	15	6	9	0	1	53.896333333333324	15.339601490550168	59.275	0.0	28.930055111111198	52.35285714285713	14.64270082843395	0	0	0.0	0.0
100000245	25	25	0	1	3	75.32161538461543	8.336002957869526	73.73133333333334	4.79143801193569	2.528997002629966	75.3161034482759	6.947517047638639	2	0	0.6666666666666666	0.0
100000246	20	20	0	0	3	81.85249999999999	6.490266269576311	74.74166666666666	9.205078610322794	50.56395069444442	77.49126086956518	10.94895002000843	2	1	0.6666666666666666	0.3333333333333333
100000247	13	13	0	0	1	74.1276923076923	1.9722386883404774	69.615	0.0	20.3643918639053	74.09357142857142	1.9044744574773533	1	0	1.0	0.0
100000250	16	16	0	0	0	71.6609375	2.670779953233465				71.661	1.8751403947438186	0	0	0.0	0.0
100000251	8	8	0	0	0	91.63099999999999	1.4210854715202004e-14				91.63099999999999	1.4210854715202004e-14	0	0	0.0	0.0
100000252	21	20	1	2	1	89.05240909090911	1.1653342735062313	92.6	0.0	12.585401258264296	89.11613043478262	1.0839606644695206	0	0	0.0	0.0
100000253	24	23	1	1	4	88.14979166666666	3.62649242817316	84.36550000000001	3.5545057673324987	14.320863418402627	88.30903571428571	2.6524328789426375	4	0	1.0	0.0
100000254	8	8	0	0	0	76.951875	2.2079882493743024				76.951875	2.081666906441806	0	0	0.0	0.0
100000255	0	0	0	0	0								0	0	0.0	0.0
100000256	8	8	0	0	0	80.15025	6.701414696726353				80.15025	5.563277153575935	0	0	0.0	0.0
100000259	44	44	0	0	2	88.09554545454543	2.520195847859886	91.53449999999998	2.2715000000000103	11.826408365702509	88.06508695652177	2.075327253671063	2	0	1.0	0.0
100000260	8	8	0	4	0	88.97500000000001	18.256865147116574				88.97491666666667	18.229353428186155	0	0	0.0	0.0
100000261	0	0	0	0	0								0	0	0.0	0.0
100000262	9	8	1	0	1	77.55624999999999	2.2323526687107482	78.4	0.0	0.711914062500024	77.64999999999999	1.0606601717798212	1	0	1.0	0.0
100000263	11	11	0	0	1	38.838454545454546	4.7679024045006395	35.161	0.0	13.523671933884291	38.95116666666666	4.37742882739273	1	0	1.0	0.0
100000264	11	11	0	0	0	49.913181818181826	4.467689291267443				49.913181818181826	3.115273804344174	0	0	0.0	0.0
