SAPECCSalesGroup	TERRID	CustomerID	month	Visits
Team 1	Employee 41	100004149	8	1
Team 1	Employee 41	100004149	9	0
Team 1	Employee 41	100004149	10	1
Team 1	Employee 41	100004149	11	0
Team 1	Employee 41	100004149	12	0
Team 1	Employee 41	100004152	5	0
Team 1	Employee 41	100004152	6	1
Team 1	Employee 41	100004152	7	0
Team 1	Employee 41	100004152	8	1
Team 1	Employee 41	100004152	9	0
Team 1	Employee 41	100004152	10	1
Team 1	Employee 41	100004152	11	0
Team 1	Employee 41	100004152	12	1
Team 1	Employee 41	100004168	5	1
Team 1	Employee 41	100004168	6	0
Team 1	Employee 41	100004168	7	1
Team 1	Employee 41	100004168	8	0
Team 1	Employee 41	100004168	9	1
Team 1	Employee 41	100004168	10	0
Team 1	Employee 41	100004168	11	1
Team 1	Employee 41	100004168	12	0
Team 1	Employee 41	100004173	5	0
Team 1	Employee 41	100004173	6	1
Team 1	Employee 41	100004173	7	0
Team 1	Employee 41	100004173	8	1
Team 1	Employee 41	100004173	9	0
Team 1	Employee 41	100004173	10	0
Team 1	Employee 41	100004173	11	0
Team 1	Employee 41	100004173	12	1
Team 1	Employee 41	100004177	5	1
Team 1	Employee 41	100004177	6	0
Team 1	Employee 41	100004177	7	1
Team 1	Employee 41	100004177	8	0
Team 1	Employee 41	100004177	9	1
Team 1	Employee 41	100004177	10	0
Team 1	Employee 41	100004177	11	1
Team 1	Employee 41	100004177	12	0
Team 1	Employee 41	100005100	5	0
Team 1	Employee 41	100005100	6	1
Team 1	Employee 41	100005100	7	0
Team 1	Employee 41	100005100	8	0
Team 1	Employee 41	100005100	9	0
Team 1	Employee 41	100005100	10	0
Team 1	Employee 41	100005100	11	0
Team 1	Employee 41	100005100	12	0
Team 1	Employee 41	100005101	5	1
Team 1	Employee 41	100005101	6	0
Team 1	Employee 41	100005101	7	1
Team 1	Employee 41	100005101	8	0
Team 1	Employee 41	100005101	9	1
Team 1	Employee 41	100005101	10	0
Team 1	Employee 41	100005101	11	1
Team 1	Employee 41	100005101	12	1
Team 1	Employee 41	100005102	5	0
Team 1	Employee 41	100005102	6	0
Team 1	Employee 41	100005102	7	0
Team 1	Employee 41	100005102	8	0
Team 1	Employee 41	100005102	9	0
Team 1	Employee 41	100005102	10	0
Team 1	Employee 41	100005102	11	0
Team 1	Employee 41	100005102	12	1
Team 1	Employee 41	100007169	5	1
Team 1	Employee 41	100007169	6	0
Team 1	Employee 41	100007169	7	0
Team 1	Employee 41	100007169	8	0
Team 1	Employee 41	100007169	9	0
Team 1	Employee 41	100007169	10	1
Team 1	Employee 41	100007169	11	0
Team 1	Employee 41	100007169	12	0
Team 1	Employee 41	100009290	5	1
Team 1	Employee 41	100009290	6	0
Team 1	Employee 41	100009290	7	1
Team 1	Employee 41	100009290	8	0
Team 1	Employee 41	100009290	9	1
Team 1	Employee 41	100009290	10	0
Team 1	Employee 41	100009290	11	1
Team 1	Employee 41	100009290	12	0
Team 1	Employee 41	100017046	5	0
Team 1	Employee 41	100017046	6	1
Team 1	Employee 41	100017046	7	0
Team 1	Employee 41	100017046	8	0
Team 1	Employee 41	100017046	9	0
Team 1	Employee 41	100017046	10	0
Team 1	Employee 41	100017046	11	0
Team 1	Employee 41	100017046	12	0
Team 1	Employee 41	100017155	5	0
Team 1	Employee 41	100017155	6	0
Team 1	Employee 41	100017155	7	0
Team 1	Employee 41	100017155	8	0
Team 1	Employee 41	100017155	9	0
Team 1	Employee 41	100017155	10	0
Team 1	Employee 41	100017155	11	1
Team 1	Employee 41	100017155	12	0
Team 1	Employee 41	100017315	5	0
Team 1	Employee 41	100017315	6	0
Team 1	Employee 41	100017315	7	0
Team 1	Employee 41	100017315	8	0
Team 1	Employee 41	100017315	9	0
Team 1	Employee 41	100017315	10	0
Team 1	Employee 41	100017315	11	0
Team 1	Employee 41	100017315	12	0
Team 1	Employee 41	100017774	5	0
Team 1	Employee 41	100017774	6	0
Team 1	Employee 41	100017774	7	0
Team 1	Employee 41	100017774	8	0
Team 1	Employee 41	100017774	9	0
Team 1	Employee 41	100017774	10	0
Team 1	Employee 41	100017774	11	0
Team 1	Employee 41	100017774	12	0
Team 1	Employee 41	100021834	5	0
Team 1	Employee 41	100021834	6	1
Team 1	Employee 41	100021834	7	0
Team 1	Employee 41	100021834	8	0
Team 1	Employee 41	100021834	9	0
Team 1	Employee 41	100021834	10	0
Team 1	Employee 41	100021834	11	0
Team 1	Employee 41	100021834	12	0
Team 1	Employee 41	100021835	5	0
Team 1	Employee 41	100021835	6	0
Team 1	Employee 41	100021835	7	0
Team 1	Employee 41	100021835	8	1
Team 1	Employee 41	100021835	9	0
Team 1	Employee 41	100021835	10	1
Team 1	Employee 41	100021835	11	0
Team 1	Employee 41	100021835	12	0
Team 1	Employee 41	100021969	5	1
Team 1	Employee 41	100021969	6	0
Team 1	Employee 41	100021969	7	1
Team 1	Employee 41	100021969	8	0
Team 1	Employee 41	100021969	9	1
Team 1	Employee 41	100021969	10	0
Team 1	Employee 41	100021969	11	1
Team 1	Employee 41	100021969	12	1
Team 1	Employee 41	100022119	5	1
Team 1	Employee 41	100022119	6	0
Team 1	Employee 41	100022119	7	0
Team 1	Employee 41	100022119	8	0
Team 1	Employee 41	100022119	9	0
Team 1	Employee 41	100022119	10	0
Team 1	Employee 41	100022119	11	0
Team 1	Employee 41	100022119	12	0
Team 1	Employee 41	100022600	5	0
Team 1	Employee 41	100022600	6	1
Team 1	Employee 41	100022600	7	0
Team 1	Employee 41	100022600	8	0
Team 1	Employee 41	100022600	9	0
Team 1	Employee 41	100022600	10	0
Team 1	Employee 41	100022600	11	0
Team 1	Employee 41	100022600	12	1
Team 1	Employee 41	100023217	5	0
Team 1	Employee 41	100023217	6	1
Team 1	Employee 41	100023217	7	0
Team 1	Employee 41	100023217	8	1
Team 1	Employee 41	100023217	9	0
Team 1	Employee 41	100023217	10	1
Team 1	Employee 41	100023217	11	0
Team 1	Employee 41	100023217	12	1
Team 1	Employee 41	100024267	12	0
Team 1	Employee 41	100024268	12	0
Team 1	Employee 42	100000142	5	1
Team 1	Employee 42	100000142	6	0
Team 1	Employee 42	100000142	7	1
Team 1	Employee 42	100000142	8	0
Team 1	Employee 42	100000142	9	0
Team 1	Employee 42	100000142	10	0
Team 1	Employee 42	100000142	11	0
Team 1	Employee 42	100000142	12	0
Team 1	Employee 42	100000205	5	0
Team 1	Employee 42	100000205	6	0
Team 1	Employee 42	100000205	7	0
Team 1	Employee 42	100000205	8	0
Team 1	Employee 42	100000205	9	0
Team 1	Employee 42	100000205	10	0
Team 1	Employee 42	100000205	11	0
Team 1	Employee 42	100000205	12	0
Team 1	Employee 42	100000206	5	1
Team 1	Employee 42	100000206	6	0
Team 1	Employee 42	100000206	7	1
Team 1	Employee 42	100000206	8	0
Team 1	Employee 42	100000206	9	1
Team 1	Employee 42	100000206	10	0
Team 1	Employee 42	100000206	11	0
Team 1	Employee 42	100000206	12	0
Team 1	Employee 42	100000208	5	1
Team 1	Employee 42	100000208	6	0
Team 1	Employee 42	100000208	7	0
Team 1	Employee 42	100000208	8	0
Team 1	Employee 42	100000208	9	0
Team 1	Employee 42	100000208	10	0
Team 1	Employee 42	100000208	11	0
Team 1	Employee 42	100000208	12	0
Team 1	Employee 42	100000814	5	0
Team 1	Employee 42	100000814	6	1
Team 1	Employee 42	100000814	7	0
Team 1	Employee 42	100000814	8	0
Team 1	Employee 42	100000814	9	0
Team 1	Employee 42	100000814	10	1
Team 1	Employee 42	100000814	11	0
Team 1	Employee 42	100000814	12	0
