XLS_RowNumber	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	OVERDUEDAYS
495	100000205	2017-12-25	12	1	1	1	Employee 42	Team 1	86.15		82.195	 	 	 	 	 	 	 
887	100000223	2017-06-30	6	1	1	1	Employee 29	Team 5	82.64399999999998		82.14399999999998	 	 	 	 	 	 	 
1010	100000227	2017-10-02	10	1	1	1	Employee 48	Team 4	88.6		90.4	 	 	 	 	 	 	 
1783	100000286	2017-11-20	11	1	1	1	Employee 38	Team 6	82.912		79.57	 	 	 	 	 	 	 
9609	100000873	2017-12-26	12	1	1	1	Employee 28	Team 5	74.634		72.665	 	 	 	 	 	 	 
11703	100000976	2017-11-20	11	1	1	1	Employee 48	Team 4	50.5		48.667	 	 	 	 	 	 	 
11714	100000979	2017-05-17	5	1	1	1	Employee 48	Team 4	15.375		15.375	 	 	 	 	 	 	 
15547	100001325	2017-07-11	7	1	1	1	Employee 31	Team 10	44.767		47.152	 	 	 	 	 	 	 
18072	100001637	2017-11-24	11	1	1	1	Employee 23	Team 11	67.67		65.62	 	 	 	 	 	 	 
18142	100001641	2017-11-24	11	1	1	1	Employee 23	Team 11	76.977		72.264	 	 	 	 	 	 	 
21638	100001952	2017-07-20	7	1	1	1	Employee 28	Team 5	59.177		47.664	 	 	 	 	not ok	not ok	 
21963	100001967	2017-09-11	9	1	1	1	Employee 43	Team 1	89.58		89.646	 	 	 	 	 	 	 
22327	100002003	2017-07-24	7	1	1	1	Employee 42	Team 1	92.718		93.847	 	 	 	 	 	 	 
22448	100002006	2017-12-25	12	1	1	1	Employee 42	Team 1	78.97		75.877	 	 	 	 	 	 	 
23694	100002069	2017-06-30	6	1	1	1	Employee 29	Team 5	77.295		76.795	 	 	 	 	 	 	 
34631	100003151	2017-10-26	10	1	1	1	Employee 68	Team 3	62.9		46.96	 	 	 	 	 	 	 
34752	100003159	2017-05-04	5	1	1	1	Employee 68	Team 3	58.663		59.131	 	 	 	 	 	 	 
35485	100003260	2017-05-23	5	1	1	1	Employee 53	Team 2	46.733		45.349	 	 	 	 	 	 	 
35489	100003260	2017-06-12	6	1	1	1	Employee 53	Team 2	48.42		46.758	 	 	 	 	 	 	 
35849	100003280	2017-10-26	10	1	1	1	Employee 51	Team 2	82.24799999999998		82.115	 	 	 	 	 	 	 
35859	100003282	2017-05-04	5	1	1	1	Employee 51	Team 2	74.763		74.03399999999998	 	 	 	 	 	 	 
40183	100003700	2017-05-30	6	1	1	1	Employee 53	Team 2	44.562		37.25	 	 	 	 	 	 	 
40237	100003706	2017-07-13	7	1	1	1	Employee 53	Team 2	63.8		64.1	 	 	 	 	 	 	 
41467	100003780	2017-05-11	5	1	1	1	Employee 60	Team 7	21.771		19.693	 	 	 	 	 	 	 
41501	100003785	2017-05-11	5	1	1	1	Employee 60	Team 7	13.296		12.623	 	 	 	 	 	 	 
42980	100003868	2017-09-29	9	1	1	1	Employee 42	Team 1	77.093		82.179	 	 	 	 	 	 	 
43040	100003869	2017-08-23	8	1	1	1	Employee 42	Team 1	89.023		91.132	 	 	 	 	 	 	 
43100	100003871	2017-11-29	12	1	1	1	Employee 26	Team 5	70.734		70.344	 	 	 	 	 	 	 
45492	100004168	2017-06-08	6	1	1	1	Employee 41	Team 1	78.584		74.497	 	 	 	 	 	 	 
45628	100004172	2017-12-29	12	1	1	1	Employee 44	Team 1	91.43		90.43	 	 	 	 	 	 	 
46723	100004231	2017-08-09	8	1	1	1	Employee 32	Team 10	55.93		41.297	 	 	 	 	not ok	not ok	 
47904	100004322	2017-10-13	10	1	1	1	Employee 59	Team 7	19.642		36.046	 	 	 	 	 	 	 
47922	100004323	2017-06-14	6	1	1	1	Employee 59	Team 7	10.371		14.811	 	 	 	 	 	 	 
48191	100004348	2017-12-29	12	1	1	1	Employee 57	Team 7	80.125		53.858	 	 	 	 	 	 	 
48298	100004365	2017-05-11	5	1	1	1	Employee 60	Team 7	47.75899999999999		50.261	 	 	 	 	 	 	 
48421	100004383	2017-05-11	5	1	1	1	Employee 60	Team 7	39.552		44.99	 	 	 	 	 	 	 
