XLS_RowNumber	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	OVERDUEDAYS
2	100000136	2017-05-01	5	0	 	 	Employee 44	Team 1				 	 	 	 	 	 	 
17	100000136	2017-06-19	6	0	 	 	Employee 44	Team 1				 	 	 	 	 	 	 
19	100000136	2017-06-26	6	0	 	 	Employee 44	Team 1				 	 	 	 	 	 	 
23	100000136	2017-07-10	7	0	 	 	Employee 44	Team 1				 	 	 	 	 	 	 
24	100000136	2017-07-13	7	0	 	 	Employee 44	Team 1				 	 	 	 	 	 	 
25	100000136	2017-07-17	7	0	 	 	Employee 44	Team 1				 	 	 	 	 	 	 
26	100000136	2017-07-20	7	0	 	 	Employee 44	Team 1				 	 	 	 	 	 	 
37	100000136	2017-08-28	9	0	 	 	Employee 44	Team 1				 	 	 	 	 	 	 
48	100000136	2017-10-05	10	0	 	 	Employee 44	Team 1				 	 	 	 	 	 	 
54	100000136	2017-10-23	10	0	 	 	Employee 44	Team 1				 	 	 	 	 	 	 
57	100000136	2017-11-02	11	0	 	 	Employee 44	Team 1				 	 	 	 	 	 	 
58	100000136	2017-11-06	11	0	 	 	Employee 44	Team 1				 	 	 	 	 	 	 
59	100000136	2017-11-09	11	0	 	 	Employee 44	Team 1				 	 	 	 	 	 	 
65	100000136	2017-11-30	12	0	 	 	Employee 44	Team 1				 	 	 	 	 	 	 
76	100000141	2017-05-01	5	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
90	100000141	2017-06-15	6	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
92	100000141	2017-06-19	6	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
94	100000141	2017-06-26	6	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
102	100000141	2017-07-20	7	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
108	100000141	2017-08-07	8	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
109	100000141	2017-08-10	8	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
110	100000141	2017-08-14	8	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
111	100000141	2017-08-17	8	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
112	100000141	2017-08-21	8	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
115	100000141	2017-08-28	9	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
118	100000141	2017-09-07	9	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
119	100000141	2017-09-11	9	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
125	100000142	2017-05-30	6	0	 	 	Employee 42	Team 1				 	 	 	 	 	 	 
126	100000142	2017-06-06	6	0	 	 	Employee 42	Team 1				 	 	 	 	 	 	 
127	100000142	2017-06-13	6	0	 	 	Employee 42	Team 1				 	 	 	 	 	 	 
153	100000142	2017-12-05	12	0	 	 	Employee 42	Team 1				 	 	 	 	 	 	 
154	100000142	2017-12-12	12	0	 	 	Employee 42	Team 1				 	 	 	 	 	 	 
160	100000144	2017-05-24	5	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
171	100000144	2017-08-02	8	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
172	100000144	2017-08-09	8	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
173	100000144	2017-08-16	8	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
183	100000144	2017-10-11	10	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
188	100000144	2017-11-08	11	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
191	100000144	2017-11-29	12	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
202	100000145	2017-05-24	5	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
205	100000145	2017-06-02	6	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
207	100000145	2017-06-09	6	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
211	100000145	2017-06-16	6	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
213	100000145	2017-06-23	6	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
216	100000145	2017-06-30	6	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
226	100000145	2017-08-02	8	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
227	100000145	2017-08-04	8	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
229	100000145	2017-08-09	8	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
230	100000145	2017-08-11	8	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
231	100000145	2017-08-16	8	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
232	100000145	2017-08-18	8	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
239	100000145	2017-09-08	9	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
248	100000145	2017-10-11	10	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
256	100000145	2017-11-03	11	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
257	100000145	2017-11-08	11	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
258	100000145	2017-11-10	11	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
263	100000145	2017-11-29	12	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
264	100000145	2017-12-01	12	0	 	 	Employee 43	Team 1				 	 	 	 	 	 	 
272	100000146	2017-05-02	5	0	 	 	Employee 41	Team 1				 	 	 	 	 	 	 
274	100000146	2017-05-16	5	0	 	 	Employee 41	Team 1				 	 	 	 	 	 	 
286	100000146	2017-08-01	8	0	 	 	Employee 41	Team 1				 	 	 	 	 	 	 
297	100000146	2017-10-10	10	0	 	 	Employee 41	Team 1				 	 	 	 	 	 	 
