XLS_RowNumber	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	OVERDUEDAYS
2370	100000329	2017-06-13	6	1	 	1	Employee 14	Team 8	83.43299999999999		55.622	 	 	 	 	not ok	not ok	 
13033	100001105	2017-10-05	10	1	 	1	Employee 37	Team 6	83.79799999999999		78.22800000000001	 	 	 	 	 	 	 
20321	100001855	2017-12-28	12	1	 	1	Employee 33	Team 10	73.357		73.357	 	 	 	 	 	 	 
20378	100001857	2017-12-28	12	1	 	1	Employee 33	Team 10	74.15899999999999		74.15899999999999	 	 	 	 	 	 	 
23147	100002032	2017-10-25	10	1	 	1	Employee 27	Team 5	68.918		68.918	 	 	 	 	 	 	 
23240	100002038	2017-06-30	6	1	 	1	Employee 27	Team 5	56.441		55.691	 	 	 	 	 	 	 
42185	100003819	2017-09-29	9	1	 	1	Employee 28	Team 5	66.449		59.248999999999995	 	 	 	 	 	 	 
46869	100004238	2017-12-28	12	1	 	1	Employee 33	Team 10	56.119		56.119	 	 	 	 	 	 	 
73486	100007346	2017-12-28	12	1	 	1	Employee 33	Team 10	47.916000000000004		47.916000000000004	 	 	 	 	 	 	 
80285	100008385	2017-11-17	11	1	 	1	Employee 52	Team 2	54.0		49.65	 	 	 	 	 	 	 
83940	100009049	2017-10-05	10	1	 	1	Employee 37	Team 6	92.823		92.823	 	 	 	 	 	 	 
84945	100009164	2017-12-29	12	1	 	1	Employee 33	Team 10	93.57600000000001		93.57600000000001	 	 	 	 	 	 	 
85014	100009177	2017-12-28	12	1	 	1	Employee 33	Team 10	49.07		49.07	 	 	 	 	 	 	 
85051	100009178	2017-12-28	12	1	 	1	Employee 33	Team 10	57.843		57.843	 	 	 	 	 	 	 
85067	100009185	2017-12-28	12	1	 	1	Employee 33	Team 10	31.984		31.984	 	 	 	 	 	 	 
85344	100009207	2017-12-28	12	1	 	1	Employee 33	Team 10	33.503		33.503	 	 	 	 	 	 	 
88751	100009713	2017-10-30	11	1	 	1	Employee 51	Team 2	87.958		89.375	 	 	 	 	 	 	 
108883	100018491	2017-12-29	12	1	 	1	Employee 33	Team 10	86.68299999999999		86.68299999999999	 	 	 	 	 	 	 
108919	100018518	2017-12-28	12	1	 	1	Employee 33	Team 10	35.595		35.595	 	 	 	 	 	 	 
108961	100018525	2017-12-28	12	1	 	1	Employee 33	Team 10	86.56700000000001		86.56700000000001	 	 	 	 	 	 	 
115458	100022166	2017-09-21	9	1	 	1	Employee 65	Team 12	60.148999999999994		58.28	 	 	 	 	 	 	 
116140	100022219	2017-12-28	12	1	 	1	Employee 33	Team 10	85.508		85.508	 	 	 	 	 	 	 
120888	100022743	2017-12-29	12	1	 	1	Employee 33	Team 10	95.54700000000001		95.54700000000001	 	 	 	 	 	 	 
122102	100022881	2017-12-28	12	1	 	1	Employee 33	Team 10	84.53299999999999		84.53299999999999	 	 	 	 	 	 	 
123170	100022977	2017-10-05	10	1	 	1	Employee 37	Team 6	76.4		79.025	 	 	 	 	 	 	 
125847	100023187	2017-10-05	10	1	 	1	Employee 37	Team 6	71.221		71.221	 	 	 	 	 	 	 
135212	100023812	2017-05-26	5	1	 	1	Employee 24	Team 11	49.034		49.034	 	 	 	 	 	 	 
138028	100024006	2017-12-28	12	1	 	1	Employee 33	Team 10	57.308		57.308	 	 	 	 	 	 	 
139787	100024219	2017-12-28	12	1	 	1	Employee 33	Team 10	74.462		74.462	 	 	 	 	 	 	 
139845	100024229	2017-12-28	12	1	 	1	Employee 33	Team 10	51.238		51.238	 	 	 	 	 	 	 
