	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	V22	OVERDUEDAYS	TRESHOLD
0	100000136	5/1/2017	5	0	 	 	Employee 44	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
15	100000136	6/19/2017	6	0	 	 	Employee 44	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
17	100000136	6/26/2017	6	0	 	 	Employee 44	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
21	100000136	7/10/2017	7	0	 	 	Employee 44	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
22	100000136	7/13/2017	7	0	 	 	Employee 44	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
23	100000136	7/17/2017	7	0	 	 	Employee 44	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
24	100000136	7/20/2017	7	0	 	 	Employee 44	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
35	100000136	8/28/2017	9	0	 	 	Employee 44	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
46	100000136	10/5/2017	10	0	 	 	Employee 44	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
52	100000136	10/23/2017	10	0	 	 	Employee 44	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
55	100000136	11/2/2017	11	0	 	 	Employee 44	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
56	100000136	11/6/2017	11	0	 	 	Employee 44	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
57	100000136	11/9/2017	11	0	 	 	Employee 44	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
63	100000136	11/30/2017	12	0	 	 	Employee 44	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
74	100000141	5/1/2017	5	0	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
85	100000141	6/8/2017	6	1	1	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
88	100000141	6/15/2017	6	0	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
90	100000141	6/19/2017	6	0	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
92	100000141	6/26/2017	6	0	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
94	100000141	7/3/2017	7	1	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
95	100000141	7/4/2017	7	1	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
98	100000141	7/13/2017	7	1	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
99	100000141	7/17/2017	7	1	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
100	100000141	7/20/2017	7	0	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
101	100000141	7/21/2017	7	1	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
103	100000141	7/27/2017	7	1	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
104	100000141	7/31/2017	8	1	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
105	100000141	8/3/2017	8	1	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
106	100000141	8/7/2017	8	0	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
107	100000141	8/10/2017	8	0	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
108	100000141	8/14/2017	8	0	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
109	100000141	8/17/2017	8	0	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
110	100000141	8/21/2017	8	0	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
111	100000141	8/22/2017	8	1	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
112	100000141	8/24/2017	8	1	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
113	100000141	8/28/2017	9	0	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
115	100000141	9/4/2017	9	1	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
116	100000141	9/7/2017	9	0	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
117	100000141	9/11/2017	9	0	 	 	Employee 43	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
123	100000142	5/30/2017	6	0	 	 	Employee 42	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
124	100000142	6/6/2017	6	0	 	 	Employee 42	Team 1	 	 	 	 	 	 	 	 	 	 	 	 
