XLS_RowNumber	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	OVERDUEDAYS
459	100000203	2017-12-18	12	0	 	1	Employee 28	Team 5	66.997		75.52600000000002	 	 	 	 	 	 	 
4883	100000485	2017-11-27	12	0	 	1	Employee 31	Team 10	57.257		56.68600000000001	 	 	 	 	 	 	 
9130	100000846	2017-10-27	10	0	 	1	Employee 27	Team 5	79.58		79.58	 	 	 	 	 	 	 
9133	100000846	2017-11-10	11	0	 	1	Employee 27	Team 5	81.38		80.943	 	 	 	 	 	 	 
9427	100000859	2017-12-18	12	0	 	1	Employee 30	Team 5	99.5		94.886	 	 	 	 	 	 	 
10147	100000894	2017-12-18	12	0	 	1	Employee 28	Team 5	61.62		63.62	 	 	 	 	 	 	 
10190	100000895	2017-12-18	12	0	 	1	Employee 28	Team 5	64.456		70.206	 	 	 	 	 	 	 
10839	100000932	2017-12-29	12	0	 	1	Employee 45	Team 4	93.5		80.89	 	 	 	 	 	 	 
13020	100001103	2017-10-04	10	0	 	1	Employee 37	Team 6	89.368		89.368	 	 	 	 	 	 	 
13317	100001121	2017-12-29	12	0	 	1	Employee 37	Team 6	87.596		87.596	 	 	 	 	 	 	 
13368	100001123	2017-12-29	12	0	 	1	Employee 37	Team 6	92.026		92.026	 	 	 	 	 	 	 
13397	100001126	2017-12-29	12	0	 	1	Employee 37	Team 6	92.5		92.5	 	 	 	 	 	 	 
13486	100001142	2017-12-29	12	0	 	1	Employee 37	Team 6	83.79799999999999		83.79799999999999	 	 	 	 	 	 	 
13527	100001149	2017-10-04	10	0	 	1	Employee 37	Team 6	62.735		62.735	 	 	 	 	 	 	 
15512	100001322	2017-11-27	12	0	 	1	Employee 31	Team 10	37.722		38.789	 	 	 	 	 	 	 
15596	100001332	2017-11-27	12	0	 	1	Employee 31	Team 10	74.699		75.824	 	 	 	 	 	 	 
15630	100001334	2017-11-27	12	0	 	1	Employee 31	Team 10	71.146		71.146	 	 	 	 	 	 	 
20941	100001903	2017-05-04	5	0	 	1	Employee 27	Team 5	64.665		64.665	 	 	 	 	 	 	 
21113	100001919	2017-12-18	12	0	 	1	Employee 28	Team 5	74.569		77.76899999999998	 	 	 	 	 	 	 
21412	100001938	2017-12-18	12	0	 	1	Employee 28	Team 5	65.197		66.403	 	 	 	 	 	 	 
21455	100001939	2017-12-18	12	0	 	1	Employee 28	Team 5	55.82899999999999		62.929	 	 	 	 	 	 	 
21846	100001964	2017-12-18	12	0	 	1	Employee 30	Team 5	99.6		87.301	 	 	 	 	 	 	 
23968	100002081	2017-09-15	9	0	 	1	Employee 30	Team 5	100.4		57.441	 	 	 	 	 	 	 
42664	100003847	2017-10-27	10	0	 	1	Employee 27	Team 5	80.45		80.45	 	 	 	 	 	 	 
42667	100003847	2017-11-10	11	0	 	1	Employee 27	Team 5	87.25		90.544	 	 	 	 	 	 	 
43085	100003871	2017-08-16	8	0	 	1	Employee 26	Team 5	58.03		69.655	 	 	 	 	 	 	 
