XLS_RowNumber	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	OVERDUEDAYS
109624	100019670	2017-11-24	11	 	 	1	Employee 59	Team 7	61.983000000000004		40.763000000000005	 	 	 	 	 	 	 
109700	100019704	2017-11-22	11	 	 	1	Employee 58	Team 7	50.438		33.215	 	 	 	 	 	 	 
109707	100019704	2017-12-29	12	 	 	1	Employee 58	Team 7	81.283		48.059	 	 	 	 	 	 	 
109738	100019706	2017-11-22	11	 	 	1	Employee 58	Team 7	36.352		18.137	 	 	 	 	 	 	 
109745	100019706	2017-12-29	12	 	 	1	Employee 58	Team 7	69.65		36.16	 	 	 	 	 	 	 
109785	100019813	2017-12-28	12	 	 	1	Employee 57	Team 7	74.176		69.968	 	 	 	 	 	 	 
110382	100021063	2017-07-17	7	 	 	1	Employee 53	Team 2	35.388000000000005		46.049	 	 	 	 	 	 	 
110383	100021063	2017-07-19	7	 	 	1	Employee 53	Team 2	59.802		46.049	 	 	 	 	 	 	 
110556	100021325	2017-07-25	7	 	 	1	Employee 53	Team 2	81.0		75.9	 	 	 	 	 	 	 
110644	100021428	2017-06-30	6	 	 	1	Employee 6	Team 8	53.683		31.886	 	 	 	 	 	 	 
110991	100021563	2017-09-28	9	 	 	1	Employee 37	Team 6	81.3		69.1	 	 	 	 	 	 	 
111278	100021613	2017-06-28	6	 	 	1	Employee 27	Team 5	63.803999999999995		63.803999999999995	 	 	 	 	 	 	 
111379	100021624	2017-09-25	9	 	 	1	Employee 64	Team 12	84.495		84.495	 	 	 	 	 	 	 
111491	100021627	2017-10-20	10	 	 	1	Employee 63	Team 12	94.167		94.167	 	 	 	 	 	 	 
111607	100021650	2017-08-24	8	 	 	1	Employee 29	Team 5	88.26299999999999		34.253	 	 	 	 	 	 	 
111614	100021650	2017-09-28	9	 	 	1	Employee 29	Team 5	58.65		49.621	 	 	 	 	 	 	 
111615	100021650	2017-09-29	9	 	 	1	Employee 29	Team 5	82.25		49.621	 	 	 	 	 	 	 
111718	100021703	2017-10-20	10	 	 	1	Employee 57	Team 7	59.585		50.2	 	 	 	 	 	 	 
111729	100021703	2017-12-27	12	 	 	1	Employee 57	Team 7	79.76		59.924	 	 	 	 	 	 	 
111771	100021750	2017-08-11	8	 	 	1	Employee 61	Team 7	90.697		69.533	 	 	 	 	 	 	 
111790	100021751	2017-08-11	8	 	 	1	Employee 61	Team 7	85.833		74.72	 	 	 	 	 	 	 
111796	100021751	2017-09-15	9	 	 	1	Employee 61	Team 7	90.583		60.04	 	overdue	 	 	 	overdue	6
112263	100021830	2017-07-27	7	 	 	1	Employee 37	Team 6	81.586		81.586	 	 	 	 	 	 	 
112393	100021834	2017-12-28	12	 	 	1	Employee 41	Team 1	92.01		82.411	 	 	 	 	 	 	 
112423	100021835	2017-10-27	10	 	 	1	Employee 41	Team 1	83.24600000000001		77.646	 	 	 	 	 	 	 
112433	100021835	2017-12-29	12	 	 	1	Employee 41	Team 1	92.51		87.405	 	 	 	 	 	 	 
112587	100021848	2017-12-11	12	 	 	1	Employee 50	Team 2	84.215		86.478	 	 	 	 	 	 	 
112625	100021854	2017-07-28	7	 	 	1	Employee 26	Team 5	78.35		78.35	 	 	 	 	 	 	 
112647	100021854	2017-12-22	12	 	 	1	Employee 26	Team 5	88.85		75.854	 	 	 	 	 	 	 
112665	100021857	2017-08-09	8	 	 	1	Employee 63	Team 12	53.06		43.83	 	 	 	 	 	 	 
113025	100021910	2017-08-25	8	 	 	1	Employee 29	Team 5	93.64		79.585	 	 	 	 	 	 	 
113048	100021911	2017-08-15	8	 	 	1	Employee 47	Team 4	69.281		69.281	 	 	 	 	 	 	 
113124	100021914	2017-12-14	12	 	 	1	Employee 28	Team 5	83.0		74.175	 	 	 	 	 	 	 
113261	100021920	2017-11-23	11	 	 	1	Employee 18	Team 13	59.032		51.823	 	 	 	 	 	 	 
113383	100021934	2017-09-27	9	 	 	1	Employee 65	Team 12	80.473		80.473	 	 	 	 	 	 	 
113583	100021969	2017-12-28	12	 	 	1	Employee 41	Team 1	97.86		76.742	 	 	 	 	 	 	 
113622	100021970	2017-12-29	12	 	 	1	Employee 44	Team 1	87.73		87.73	 	 	 	 	 	 	 
113736	100022002	2017-11-24	11	 	 	1	Employee 37	Team 6	78.22800000000001		73.7	 	 	 	 	 	 	 
113818	100022008	2017-10-05	10	 	 	1	Employee 38	Team 6	74.2		74.2	 	 	 	 	 	 	 
113923	100022027	2017-07-28	7	 	 	1	Employee 48	Team 4	23.361		13.273	 	 	 	 	 	 	 
114211	100022053	2017-09-29	9	 	 	1	Employee 37	Team 6	86.20200000000001		86.20200000000001	 	 	 	 	 	 	 
114299	100022059	2017-10-05	10	 	 	1	Employee 38	Team 6	75.433		70.3	 	 	 	 	 	 	 
114586	100022082	2017-09-29	9	 	 	1	Employee 49	Team 4	28.246		21.969	 	 	 	 	 	 	 
114589	100022082	2017-10-24	10	 	 	1	Employee 49	Team 4	24.061999999999998		17.889	 	 	 	 	 	 	 
114590	100022082	2017-10-26	10	 	 	1	Employee 49	Team 4	24.061999999999998		17.889	 	 	 	 	 	 	 
114591	100022082	2017-10-27	10	 	 	1	Employee 49	Team 4	24.061999999999998		17.889	 	 	 	 	 	 	 
114597	100022082	2017-12-29	12	 	 	1	Employee 49	Team 4	24.061999999999998		24.061999999999998	 	 	 	 	 	 	 
115016	100022119	2017-06-20	6	 	 	1	Employee 41	Team 1	73.818		63.358999999999995	 	 	 	 	 	 	 
115017	100022119	2017-06-21	6	 	 	1	Employee 41	Team 1	73.818		63.358999999999995	 	 	 	 	 	 	 
115106	100022127	2017-12-29	12	 	 	1	Employee 33	Team 10	92.3		92.3	 	 	 	 	 	 	 
115120	100022128	2017-07-28	7	 	 	1	Employee 45	Team 4	78.737		72.25399999999999	 	 	 	 	 	 	 
115363	100022159	2017-06-30	6	 	 	1	Employee 47	Team 4	87.315		87.315	 	 	 	 	 	 	 
115408	100022165	2017-09-29	9	 	 	1	Employee 64	Team 12	77.785		77.785	 	 	 	 	 	 	 
115956	100022212	2017-12-27	12	 	 	1	Employee 37	Team 6	83.8		71.8	 	 	 	 	 	 	 
116006	100022214	2017-09-28	9	 	 	1	Employee 27	Team 5	8.625		8.625	 	 	 	 	 	 	 
116013	100022214	2017-11-10	11	 	 	1	Employee 27	Team 5	56.6		42.358999999999995	 	 	 	 	 	 	 
116081	100022216	2017-11-07	11	 	 	1	Employee 60	Team 7	60.007		54.18600000000001	 	 	 	 	 	 	 
116167	100022226	2017-09-28	9	 	 	1	Employee 35	Team 6	61.746		20.581999999999997	 	 	 	 	 	 	 
116198	100022234	2017-08-25	8	 	 	1	Employee 29	Team 5	95.0		79.456	 	 	 	 	 	 	 
116521	100022288	2017-12-28	12	 	 	1	Employee 46	Team 4	67.25		67.25	 	 	 	 	 	 	 
116736	100022315	2017-12-22	12	 	 	1	Employee 26	Team 5	87.24		77.714	 	 	 	 	 	 	 
116752	100022316	2017-11-24	11	 	 	1	Employee 51	Team 2	62.977		48.588	 	 	 	 	 	 	 
116946	100022335	2017-06-29	6	 	 	1	Employee 61	Team 7	74.7		68.641	 	 	 	 	 	 	 
117010	100022337	2017-06-27	6	 	 	1	Employee 61	Team 7	96.899		52.486000000000004	 	 	 	 	 	 	 
117016	100022337	2017-09-25	9	 	 	1	Employee 61	Team 7	96.899		65.10600000000001	 	 	 	 	 	 	 
117021	100022337	2017-11-17	11	 	 	1	Employee 61	Team 7	46.371		30.914	 	 	 	 	 	 	 
117301	100022376	2017-07-28	7	 	 	1	Employee 45	Team 4	85.87799999999999		85.083	 	 	 	 	 	 	 
117380	100022390	2017-12-28	12	 	 	1	Employee 57	Team 7	71.90899999999999		37.726	 	 	 	 	 	 	 
117533	100022397	2017-12-28	12	 	 	1	Employee 33	Team 10	60.976000000000006		60.976000000000006	 	 	 	 	 	 	 
117606	100022408	2017-12-28	12	 	 	1	Employee 57	Team 7	75.062		61.108000000000004	 	 	 	 	 	 	 
117735	100022416	2017-08-11	8	 	 	1	Employee 59	Team 7	59.51		43.243	 	 	 	 	 	 	 
118034	100022460	2017-07-28	7	 	 	1	Employee 26	Team 5	86.64399999999999		83.681	 	 	 	 	 	 	 
