XLS_RowNumber	CustomerID	Calendarday	month	SAPECoeficient	APECoeficient	FPECoeficient	Solution	Comment										
38120	100003488	2017-05-02	5									 	 	 	 	 	 	 
38991	100003589	2017-05-02	5									 	 	 	 	 	 	 
39119	100003602	2017-05-02	5									 	 	 	 	 	 	 
39787	100003670	2017-05-02	5									 	 	 	 	 	 	 
46211	100004207	2017-08-14	8									 	 	 	 	 	 	 
51058	100004690	2017-08-11	8									 	 	 	 	 	 	 
53357	100004917	2017-09-28	9									 	 	 	 	 	 	 
60817	100005671	2017-05-02	5									 	 	 	 	 	 	 
68487	100006612	2017-05-02	5									 	 	 	 	 	 	 
77615	100008087	2017-05-02	5									 	 	 	 	 	 	 
77755	100008102	2017-05-02	5									 	 	 	 	 	 	 
77783	100008107	2017-05-02	5									 	 	 	 	 	 	 
77803	100008111	2017-05-02	5									 	 	 	 	 	 	 
78138	100008161	2017-05-02	5									 	 	 	 	 	 	 
81641	100008600	2017-05-02	5									 	 	 	 	 	 	 
81642	100008602	2017-05-02	5									 	 	 	 	 	 	 
81739	100008626	2017-05-02	5									 	 	 	 	 	 	 
88329	100009603	2017-05-02	5									 	 	 	 	 	 	 
88385	100009610	2017-09-14	9									 	 	 	 	 	 	 
91007	100010218	2017-05-02	5									 	 	 	 	 	 	 
97028	100014429	2017-09-12	9									 	 	 	 	 	 	 
97029	100014429	2017-10-24	10									 	 	 	 	 	 	 
97054	100014438	2017-05-02	5									 	 	 	 	 	 	 
97352	100014731	2017-05-02	5									 	 	 	 	 	 	 
104368	100017724	2017-06-08	6									 	 	 	 	 	 	 
104369	100017724	2017-06-22	6									 	 	 	 	 	 	 
108722	100018397	2017-07-10	7									 	 	 	 	 	 	 
110197	100020777	2017-05-02	5									 	 	 	 	 	 	 
110489	100021216	2017-05-02	5									 	 	 	 	 	 	 
116590	100022297	2017-07-11	7									 	 	 	 	 	 	 
117381	100022391	2017-05-02	5									 	 	 	 	 	 	 
118816	100022537	2017-05-02	5									 	 	 	 	 	 	 
127388	100023317	2017-07-11	7									 	 	 	 	 	 	 
129717	100023490	2017-09-13	9									 	 	 	 	 	 	 
129718	100023490	2017-10-25	10									 	 	 	 	 	 	 
130666	100023567	2017-09-12	9									 	 	 	 	 	 	 
130667	100023567	2017-09-26	9									 	 	 	 	 	 	 
130668	100023567	2017-10-10	10									 	 	 	 	 	 	 
130669	100023567	2017-10-24	10									 	 	 	 	 	 	 
130790	100023572	2017-12-05	12									 	 	 	 	 	 	 
132047	100023633	2017-12-14	12									 	 	 	 	 	 	 
132048	100023633	2017-12-21	12									 	 	 	 	 	 	 
133743	100023732	2017-05-04	5									 	 	 	 	 	 	 
133744	100023732	2017-05-08	5									 	 	 	 	 	 	 
133745	100023732	2017-05-11	5									 	 	 	 	 	 	 
133746	100023732	2017-05-15	5									 	 	 	 	 	 	 
133747	100023732	2017-05-18	5									 	 	 	 	 	 	 
135324	100023815	2017-12-21	12									 	 	 	 	 	 	 
136784	100023915	2017-06-27	6									 	 	 	 	 	 	 
136785	100023915	2017-07-04	7									 	 	 	 	 	 	 
136982	100023927	2017-08-09	8									 	 	 	 	 	 	 
136983	100023927	2017-08-16	8									 	 	 	 	 	 	 
137476	100023971	2017-07-03	7									 	 	 	 	 	 	 
137482	100023971	2017-10-16	10									 	 	 	 	 	 	 
137483	100023971	2017-11-20	11									 	 	 	 	 	 	 
137485	100023971	2017-12-18	12									 	 	 	 	 	 	 
137542	100023976	2017-12-04	12									 	 	 	 	 	 	 
137543	100023976	2017-12-18	12									 	 	 	 	 	 	 
137587	100023979	2017-07-05	7									 	 	 	 	 	 	 
138158	100024020	2017-08-16	8									 	 	 	 	 	 	 
138222	100024027	2017-08-15	8									 	 	 	 	 	 	 
138495	100024052	2017-07-31	8									 	 	 	 	 	 	 
138496	100024052	2017-08-07	8									 	 	 	 	 	 	 
138497	100024052	2017-08-14	8									 	 	 	 	 	 	 
138498	100024052	2017-08-21	8									 	 	 	 	 	 	 
138526	100024055	2017-08-14	8									 	 	 	 	 	 	 
138685	100024076	2017-09-15	9									 	 	 	 	 	 	 
138686	100024076	2017-09-22	9									 	 	 	 	 	 	 
138689	100024076	2017-10-13	10									 	 	 	 	 	 	 
138690	100024076	2017-10-20	10									 	 	 	 	 	 	 
138691	100024076	2017-10-27	10									 	 	 	 	 	 	 
138729	100024079	2017-09-11	9									 	 	 	 	 	 	 
138860	100024087	2017-08-29	9									 	 	 	 	 	 	 
138861	100024087	2017-09-05	9									 	 	 	 	 	 	 
138863	100024087	2017-09-19	9									 	 	 	 	 	 	 
138864	100024087	2017-09-26	9									 	 	 	 	 	 	 
138865	100024087	2017-10-03	10									 	 	 	 	 	 	 
138866	100024087	2017-10-10	10									 	 	 	 	 	 	 
138867	100024087	2017-10-17	10									 	 	 	 	 	 	 
138868	100024087	2017-10-24	10									 	 	 	 	 	 	 
138869	100024087	2017-10-31	11									 	 	 	 	 	 	 
138879	100024088	2017-10-13	10									 	 	 	 	 	 	 
138880	100024088	2017-10-20	10									 	 	 	 	 	 	 
138949	100024097	2017-09-25	9									 	 	 	 	 	 	 
138950	100024097	2017-10-02	10									 	 	 	 	 	 	 
138951	100024097	2017-10-09	10									 	 	 	 	 	 	 
139256	100024141	2017-10-06	10									 	 	 	 	 	 	 
139293	100024150	2017-10-16	10									 	 	 	 	 	 	 
139300	100024152	2017-10-30	11									 	 	 	 	 	 	 
139319	100024156	2017-10-03	10									 	 	 	 	 	 	 
139322	100024156	2017-10-24	10									 	 	 	 	 	 	 
139323	100024156	2017-10-31	11									 	 	 	 	 	 	 
139383	100024166	2017-10-18	10									 	 	 	 	 	 	 
139384	100024166	2017-10-25	10									 	 	 	 	 	 	 
139499	100024181	2017-10-25	10									 	 	 	 	 	 	 
139500	100024181	2017-11-01	11									 	 	 	 	 	 	 
139688	100024204	2017-11-03	11									 	 	 	 	 	 	 
139931	100024249	2017-11-14	11									 	 	 	 	 	 	 
139955	100024258	2017-11-15	11									 	 	 	 	 	 	 
139956	100024258	2017-11-22	11									 	 	 	 	 	 	 
139957	100024258	2017-11-29	12									 	 	 	 	 	 	 
140005	100024276	2017-12-05	12									 	 	 	 	 	 	 
140054	100024299	2017-11-20	11									 	 	 	 	 	 	 
140055	100024299	2017-11-27	12									 	 	 	 	 	 	 
140122	100024364	2017-12-25	12									 	 	 	 	 	 	 
140126	100024375	2017-12-27	12									 	 	 	 	 	 	 
