XLS_RowNumber	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	OVERDUEDAYS
459	100000203	2017-12-18	12	0	 	1	Employee 28	Team 5	66.997		75.52600000000002	 	 	 	 	 	 	 
4885	100000485	2017-11-27	12	0	 	1	Employee 31	Team 10	57.257		56.68600000000001	 	 	 	 	 	 	 
9132	100000846	2017-10-27	10	0	 	1	Employee 27	Team 5	79.58		79.58	 	 	 	 	 	 	 
9135	100000846	2017-11-10	11	0	 	1	Employee 27	Team 5	81.38		80.943	 	 	 	 	 	 	 
9429	100000859	2017-12-18	12	0	 	1	Employee 30	Team 5	99.5		94.88600000000001	 	 	 	 	 	 	 
10149	100000894	2017-12-18	12	0	 	1	Employee 28	Team 5	61.62		63.62	 	 	 	 	 	 	 
10192	100000895	2017-12-18	12	0	 	1	Employee 28	Team 5	64.456		70.206	 	 	 	 	 	 	 
10841	100000932	2017-12-29	12	0	 	1	Employee 45	Team 4	93.5		80.89	 	 	 	 	 	 	 
13023	100001103	2017-10-04	10	0	 	1	Employee 37	Team 6	89.368		89.368	 	 	 	 	 	 	 
13320	100001121	2017-12-29	12	0	 	1	Employee 37	Team 6	87.596		87.596	 	 	 	 	 	 	 
13371	100001123	2017-12-29	12	0	 	1	Employee 37	Team 6	92.02600000000001		92.02600000000001	 	 	 	 	 	 	 
13400	100001126	2017-12-29	12	0	 	1	Employee 37	Team 6	92.5		92.5	 	 	 	 	 	 	 
13489	100001142	2017-12-29	12	0	 	1	Employee 37	Team 6	83.79799999999999		83.79799999999999	 	 	 	 	 	 	 
13530	100001149	2017-10-04	10	0	 	1	Employee 37	Team 6	62.735		62.735	 	 	 	 	 	 	 
15515	100001322	2017-11-27	12	0	 	1	Employee 31	Team 10	37.722		38.789	 	 	 	 	 	 	 
15599	100001332	2017-11-27	12	0	 	1	Employee 31	Team 10	74.699		75.824	 	 	 	 	 	 	 
15633	100001334	2017-11-27	12	0	 	1	Employee 31	Team 10	71.146		71.146	 	 	 	 	 	 	 
20945	100001903	2017-05-04	5	0	 	1	Employee 27	Team 5	64.665		64.665	 	 	 	 	 	 	 
21117	100001919	2017-12-18	12	0	 	1	Employee 28	Team 5	74.569		77.76899999999998	 	 	 	 	 	 	 
21416	100001938	2017-12-18	12	0	 	1	Employee 28	Team 5	65.197		66.403	 	 	 	 	 	 	 
21459	100001939	2017-12-18	12	0	 	1	Employee 28	Team 5	55.82899999999999		62.928999999999995	 	 	 	 	 	 	 
21850	100001964	2017-12-18	12	0	 	1	Employee 30	Team 5	99.6		87.301	 	 	 	 	 	 	 
23972	100002081	2017-09-15	9	0	 	1	Employee 30	Team 5	100.4		57.441	 	 	 	 	 	 	 
42683	100003847	2017-10-27	10	0	 	1	Employee 27	Team 5	80.45		80.45	 	 	 	 	 	 	 
42686	100003847	2017-11-10	11	0	 	1	Employee 27	Team 5	87.25		90.544	 	 	 	 	 	 	 
43107	100003871	2017-08-16	8	0	 	1	Employee 26	Team 5	58.03		69.655	 	 	 	 	 	 	 
43137	100003872	2017-08-16	8	0	 	1	Employee 26	Team 5	31.604		26.396	 	 	 	 	not ok	not ok	 
43177	100003875	2017-08-16	8	0	 	1	Employee 26	Team 5	73.91199999999998		78.385	 	 	 	 	 	 	 
43313	100003897	2017-10-20	10	0	 	1	Employee 27	Team 5	53.717		53.717	 	 	 	 	 	 	 
43317	100003897	2017-11-10	11	0	 	1	Employee 27	Team 5	70.138		67.774	 	 	 	 	 	 	 
43355	100003899	2017-11-10	11	0	 	1	Employee 27	Team 5	87.2		88.6	 	 	 	 	 	 	 
43525	100003909	2017-05-04	5	0	 	1	Employee 27	Team 5	32.899		35.978	 	 	 	 	 	 	 
43579	100003912	2017-09-29	9	0	 	1	Employee 29	Team 5	38.521		25.171	 	 	 	 	 	 	 
43963	100003943	2017-08-16	8	0	 	1	Employee 30	Team 5	33.407		41.50100000000001	 	 	 	 	 	 	 
44585	100004048	2017-12-29	12	0	 	1	Employee 37	Team 6	88.2		88.2	 	 	 	 	 	 	 
54326	100005038	2017-12-29	12	0	 	1	Employee 37	Team 6	86.8		86.8	 	 	 	 	 	 	 
55707	100005200	2017-12-18	12	0	 	1	Employee 30	Team 5	100.4		78.203	 	 	 	 	 	 	 
55797	100005214	2017-11-10	11	0	 	1	Employee 27	Team 5	100.4		95.00200000000001	 	 	 	 	 	 	 
56334	100005256	2017-08-16	8	0	 	1	Employee 26	Team 5	66.566		78.608	 	 	 	ok	 	ok	 
59151	100005524	2017-09-28	9	0	 	1	Employee 64	Team 12	87.4		87.4	 	 	 	 	 	 	 
59399	100005535	2017-05-02	5	0	 	1	Employee 63	Team 12	83.561		84.80799999999998	 	 	 	 	 	 	 
61842	100005785	2017-07-12	7	0	 	1	Employee 53	Team 2	75.37100000000002		72.343	 	 	 	 	 	 	 
66660	100006427	2017-08-25	8	0	 	1	Employee 31	Team 10	74.715		73.44	 	 	 	 	 	 	 
68255	100006590	2017-08-25	8	0	 	1	Employee 31	Team 10	64.487		51.5	 	 	 	 	 	 	 
70774	100007100	2017-12-29	12	0	 	1	Employee 45	Team 4	99.5		95.589	 	 	 	 	 	 	 
72729	100007306	2017-05-04	5	0	 	1	Employee 29	Team 5	86.18799999999996		86.18799999999996	 	 	 	 	 	 	 
76955	100007863	2017-11-27	12	0	 	1	Employee 31	Team 10	50.887		47.917	 	 	 	 	 	 	 
82970	100008873	2017-12-28	12	0	 	1	Employee 66	Team 12	97.311		96.42200000000001	 	 	 	 	 	 	 
83086	100008892	2017-12-28	12	0	 	1	Employee 66	Team 12	67.611		58.341	 	 	 	 	 	 	 
83115	100008900	2017-12-28	12	0	 	1	Employee 66	Team 12	65.683		54.37	 	 	 	 	 	 	 
83185	100008902	2017-12-28	12	0	 	1	Employee 66	Team 12	45.333		30.725	 	 	 	 	 	 	 
92114	100011338	2017-12-18	12	0	 	1	Employee 30	Team 5	100.0		73.46600000000002	 	 	 	 	 	 	 
92299	100011677	2017-12-29	12	0	 	1	Employee 34	Team 6	97.34200000000001		76.456	 	 	 	 	 	 	 
92885	100012619	2017-12-29	12	0	 	1	Employee 37	Team 6	78.45		74.765	 	 	 	 	 	 	 
92895	100012630	2017-06-27	6	0	 	1	Employee 38	Team 6	86.541		65.916	 	 	 	 	 	 	 
