XLS_RowNumber	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	OVERDUEDAYS
6711	100000591	2017-05-02	5	1	0	0	Employee 22	Team 13				 	 	 	 	 	 	 
7326	100000640	2017-05-02	5	1	0	0	Employee 18	Team 13				 	 	 	 	 	 	 
15605	100001333	2017-07-10	7	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
15738	100001345	2017-07-10	7	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
15806	100001359	2017-07-11	7	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
17156	100001480	2017-05-02	5	1	0	0	Employee 22	Team 13				 	 	 	 	 	 	 
17196	100001495	2017-05-02	5	1	0	0	Employee 22	Team 13				 	 	 	 	 	 	 
17661	100001549	2017-07-31	8	1	0	0	Employee 20	Team 13				 	 	 	 	 	 	 
17662	100001549	2017-08-14	8	1	0	0	Employee 20	Team 13				 	 	 	 	 	 	 
34840	100003166	2017-05-02	5	1	0	0	Employee 68	Team 3				 	 	 	 	 	 	 
36713	100003341	2017-11-30	12	1	0	0	Employee 72	Team 3				 	 	 	 	 	 	 
37265	100003428	2017-05-02	5	1	0	0	Employee 74	Team 3				 	 	 	 	 	 	 
39009	100003589	2017-05-02	5	1	0	0	Employee 70	Team 3				 	 	 	 	 	 	 
39805	100003670	2017-05-02	5	1	0	0	Employee 73	Team 3				 	 	 	 	 	 	 
60859	100005671	2017-05-02	5	1	0	0	Employee 70	Team 3				 	 	 	 	 	 	 
68536	100006612	2017-05-02	5	1	0	0	Employee 22	Team 13				 	 	 	 	 	 	 
77667	100008087	2017-05-02	5	1	0	0	Employee 73	Team 3				 	 	 	 	 	 	 
77807	100008102	2017-05-02	5	1	0	0	Employee 73	Team 3				 	 	 	 	 	 	 
77835	100008107	2017-05-02	5	1	0	0	Employee 73	Team 3				 	 	 	 	 	 	 
81694	100008600	2017-05-02	5	1	0	0	Employee 70	Team 3				 	 	 	 	 	 	 
81695	100008602	2017-05-02	5	1	0	0	Employee 73	Team 3				 	 	 	 	 	 	 
81792	100008626	2017-05-02	5	1	0	0	Employee 73	Team 3				 	 	 	 	 	 	 
91069	100010218	2017-05-02	5	1	0	0	Employee 73	Team 3				 	 	 	 	 	 	 
97092	100014429	2017-10-24	10	1	0	0	Employee 70	Team 3				 	 	 	 	 	 	 
97117	100014438	2017-05-02	5	1	0	0	Employee 70	Team 3				 	 	 	 	 	 	 
108790	100018397	2017-07-10	7	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
110265	100020777	2017-05-02	5	1	0	0	Employee 68	Team 3				 	 	 	 	 	 	 
110557	100021216	2017-05-02	5	1	0	0	Employee 68	Team 3				 	 	 	 	 	 	 
116660	100022297	2017-07-11	7	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
118887	100022537	2017-05-02	5	1	0	0	Employee 19	Team 13				 	 	 	 	 	 	 
127464	100023317	2017-07-11	7	1	0	0	Employee 31	Team 10				 	 	 	 	 	 	 
129794	100023490	2017-10-25	10	1	0	0	Employee 70	Team 3				 	 	 	 	 	 	 
130746	100023567	2017-10-10	10	1	0	0	Employee 68	Team 3				 	 	 	 	 	 	 
130747	100023567	2017-10-24	10	1	0	0	Employee 68	Team 3				 	 	 	 	 	 	 
130868	100023572	2017-12-05	12	1	0	0	Employee 70	Team 3				 	 	 	 	 	 	 
135406	100023815	2017-12-21	12	1	0	0	Employee 35	Team 6				 	 	 	 	 	 	 
136866	100023915	2017-06-27	6	1	0	0	Employee 58	Team 7				 	 	 	 	 	 	 
136867	100023915	2017-07-04	7	1	0	0	Employee 58	Team 7				 	 	 	 	 	 	 
137564	100023971	2017-10-16	10	1	0	0	Employee 68	Team 3				 	 	 	 	 	 	 
137565	100023971	2017-11-20	11	1	0	0	Employee 68	Team 3				 	 	 	 	 	 	 
137567	100023971	2017-12-18	12	1	0	0	Employee 68	Team 3				 	 	 	 	 	 	 
137624	100023976	2017-12-04	12	1	0	0	Employee 70	Team 3				 	 	 	 	 	 	 
137625	100023976	2017-12-18	12	1	0	0	Employee 70	Team 3				 	 	 	 	 	 	 
138240	100024020	2017-08-16	8	1	0	0	Employee 35	Team 6				 	 	 	 	 	 	 
138304	100024027	2017-08-15	8	1	0	0	Employee 39	Team 6				 	 	 	 	 	 	 
138577	100024052	2017-07-31	8	1	0	0	Employee 18	Team 13				 	 	 	 	 	 	 
138578	100024052	2017-08-07	8	1	0	0	Employee 18	Team 13				 	 	 	 	 	 	 
138579	100024052	2017-08-14	8	1	0	0	Employee 18	Team 13				 	 	 	 	 	 	 
138580	100024052	2017-08-21	8	1	0	0	Employee 18	Team 13				 	 	 	 	 	 	 
138767	100024076	2017-09-15	9	1	0	0	Employee 70	Team 3				 	 	 	 	 	 	 
138768	100024076	2017-09-22	9	1	0	0	Employee 70	Team 3				 	 	 	 	 	 	 
138771	100024076	2017-10-13	10	1	0	0	Employee 70	Team 3				 	 	 	 	 	 	 
138772	100024076	2017-10-20	10	1	0	0	Employee 70	Team 3				 	 	 	 	 	 	 
138773	100024076	2017-10-27	10	1	0	0	Employee 70	Team 3				 	 	 	 	 	 	 
138811	100024079	2017-09-11	9	1	0	0	Employee 33	Team 10				 	 	 	 	 	 	 
138942	100024087	2017-08-29	9	1	0	0	Employee 73	Team 3				 	 	 	 	 	 	 
138943	100024087	2017-09-05	9	1	0	0	Employee 73	Team 3				 	 	 	 	 	 	 
138945	100024087	2017-09-19	9	1	0	0	Employee 73	Team 3				 	 	 	 	 	 	 
138946	100024087	2017-09-26	9	1	0	0	Employee 73	Team 3				 	 	 	 	 	 	 
138947	100024087	2017-10-03	10	1	0	0	Employee 73	Team 3				 	 	 	 	 	 	 
138948	100024087	2017-10-10	10	1	0	0	Employee 73	Team 3				 	 	 	 	 	 	 
138949	100024087	2017-10-17	10	1	0	0	Employee 73	Team 3				 	 	 	 	 	 	 
138950	100024087	2017-10-24	10	1	0	0	Employee 73	Team 3				 	 	 	 	 	 	 
138961	100024088	2017-10-13	10	1	0	0	Employee 73	Team 3				 	 	 	 	 	 	 
138962	100024088	2017-10-20	10	1	0	0	Employee 73	Team 3				 	 	 	 	 	 	 
139031	100024097	2017-09-25	9	1	0	0	Employee 48	Team 4				 	 	 	 	 	 	 
139032	100024097	2017-10-02	10	1	0	0	Employee 48	Team 4				 	 	 	 	 	 	 
139033	100024097	2017-10-09	10	1	0	0	Employee 48	Team 4				 	 	 	 	 	 	 
139338	100024141	2017-10-06	10	1	0	0	Employee 37	Team 6				 	 	 	 	 	 	 
139375	100024150	2017-10-16	10	1	0	0	Employee 68	Team 3				 	 	 	 	 	 	 
139401	100024156	2017-10-03	10	1	0	0	Employee 48	Team 4				 	 	 	 	 	 	 
139404	100024156	2017-10-24	10	1	0	0	Employee 48	Team 4				 	 	 	 	 	 	 
139465	100024166	2017-10-18	10	1	0	0	Employee 68	Team 3				 	 	 	 	 	 	 
139466	100024166	2017-10-25	10	1	0	0	Employee 68	Team 3				 	 	 	 	 	 	 
139582	100024181	2017-10-25	10	1	0	0	Employee 48	Team 4				 	 	 	 	 	 	 
139583	100024181	2017-11-01	11	1	0	0	Employee 48	Team 4				 	 	 	 	 	 	 
139771	100024204	2017-11-03	11	1	0	0	Employee 46	Team 4				 	 	 	 	 	 	 
140014	100024249	2017-11-14	11	1	0	0	Employee 23	Team 11				 	 	 	 	 	 	 
140038	100024258	2017-11-15	11	1	0	0	Employee 35	Team 6				 	 	 	 	 	 	 
140039	100024258	2017-11-22	11	1	0	0	Employee 35	Team 6				 	 	 	 	 	 	 
140088	100024276	2017-12-05	12	1	0	0	Employee 35	Team 6				 	 	 	 	 	 	 
140137	100024299	2017-11-20	11	1	0	0	Employee 21	Team 13				 	 	 	 	 	 	 
140138	100024299	2017-11-27	12	1	0	0	Employee 21	Team 13				 	 	 	 	 	 	 
140205	100024364	2017-12-25	12	1	0	0	Employee 70	Team 3				 	 	 	 	 	 	 
140209	100024375	2017-12-27	12	1	0	0	Employee 57	Team 7				 	 	 	 	 	 	 
